Price_ID,Product_ID,Vendor_ID,Currency,Unit_Price,Effective_From,Effective_To,Price_Status
PR4001,P2011,V3301,INR,4286.59,2026-05-07,,Active
PR4002,P2292,V9999,INR,9936.7,2026-02-26,,Active
PR4003,P2148,V3130,INR,189.02,2026-07-13,,Active
PR4004,P2319,V3044,INR,9590.52,2026-05-20,,Active
PR4005,P2080,V3083,INR,6889.52,2026-01-27,,Active
PR4006,P2191,V3124,INR,11834.22,2026-02-15,,Active
PR4007,P2453,V3027,INR,7104.11,2026-05-15,,Active
PR4008,P2344,V3304,INR,735.4,2026-03-02,,Active
PR4009,P2030,V3350,INR,678.95,2026-07-05,,Active
PR4010,P2414,V3007,INR,10606.6,2026-02-27,,Active
PR4011,P2359,V3341,INR,10106.48,2026-01-13,,Active
PR4012,P2368,V3199,INR,4199.74,2026-06-30,,Active
PR4013,P2495,V3112,INR,7445.04,2026-04-10,,Active
PR4014,P2229,V3089,INR,5913.38,2026-07-12,,Active
PR4015,P2481,V3128,INR,11608.43,2026-02-18,,Expired
PR4016,P2084,V3230,INR,11403.28,2026-02-04,,Active
PR4017,P2150,V3018,INR,11807.28,2026-04-04,,Active
PR4018,P2361,V3289,INR,10407.4,2026-04-05,,Active
PR4019,P2189,V3161,INR,10921.4,2026-05-25,,Active
PR4020,P2021,V3281,INR,2666.05,2026-03-13,,Active
PR4021,P2037,V3166,INR,9984.76,2026-07-14,,Active
PR4022,P2246,V3260,INR,8528.12,2026-05-03,,Active
PR4023,P2283,V3190,INR,11556.23,2026-01-10,,Expired
PR4024,P2102,V3338,INR,6887.3,2026-06-11,,Active
PR4025,P2419,V3266,INR,1090.62,2026-08-02,,Active
PR4026,P2294,V3291,INR,7198.98,2026-01-04,,Expired
PR4027,P2232,V3279,INR,8262.48,2026-08-12,,Active
PR4028,P2316,V3217,INR,2702.33,2026-05-05,,Active
PR4029,P2326,V3321,INR,4774.8,2026-01-29,,Active
PR4030,P2288,V3338,INR,7212.15,2026-02-15,,Expired
PR4031,P2336,V3207,INR,4536.21,2026-07-22,,Expired
PR4032,P2476,V3153,INR,4546.25,2026-06-23,,Active
PR4033,P2464,V3181,INR,1662.06,2026-03-18,,Expired
PR4034,P2411,V3212,INR,11293.4,2026-02-28,,Expired
PR4035,P2245,V3273,INR,9024.65,2026-07-08,,Active
PR4036,P2387,V3203,INR,89.83,2026-07-15,,Expired
PR4037,P2177,V3205,INR,9204.94,2026-03-07,,Active
PR4038,P2213,V3153,INR,8897.06,2026-06-11,,Expired
PR4039,P2358,V3170,INR,191.04,2026-04-17,,Expired
PR4040,P2102,V3241,INR,4482.53,2026-03-27,,Active
PR4041,P2286,V3287,INR,7310.47,2026-05-13,,Active
PR4042,P2022,V3245,INR,5474.05,2026-01-09,,Expired
PR4043,P2019,V3321,INR,9352.48,2026-01-20,,Active
PR4044,P2287,V3080,INR,5148.59,2026-05-29,,Expired
PR4045,P2276,V3092,INR,1909.82,2026-05-07,,Active
PR4046,P2495,V3149,INR,11718.76,2026-01-17,,Active
PR4047,P2147,V3030,INR,2961.33,2026-01-12,,Active
PR4048,P9999,V3123,INR,8633.48,2026-08-08,,Active
PR4049,P2040,V3326,INR,1782.14,2026-03-23,,Active
PR4050,P2167,V3029,INR,3998.48,2026-03-08,,Active
PR4051,P2091,V3259,INR,5346.18,2026-05-13,,Active
PR4052,P2072,V3186,INR,2367.37,2026-07-07,,Active
PR4053,P2365,V3075,INR,5440.77,2026-02-22,,Active
PR4054,P2438,V3045,INR,1949.17,2026-06-29,,Active
PR4055,P2283,V3069,INR,6741.15,2026-07-25,,Active
PR4056,P2335,V3210,INR,7989.78,2026-06-25,,Expired
PR4057,P2140,V3239,INR,819.53,2026-08-06,,Active
PR4058,P2239,V3340,INR,10463.25,2026-05-27,,Expired
PR4059,P2078,V3308,INR,2282.81,2026-08-21,,Active
PR4060,P2199,V3192,INR,2762.45,2026-05-25,,Expired
PR4061,P2017,V3103,INR,7961.6,2026-02-23,,Active
PR4062,P2218,V3241,INR,5664.86,2026-08-19,,Active
PR4063,P2229,V3253,INR,6030.29,2026-08-22,,Active
PR4064,P2340,V3220,INR,1603.25,2026-03-09,,Active
PR4065,P2138,V3336,INR,9683.4,2026-08-22,,Active
PR4066,P2147,V3217,INR,7433.37,2026-02-04,,Active
PR4067,P2210,V3202,INR,1689.43,2026-03-29,,Active
PR4068,P2158,V3029,INR,4534.94,2026-06-18,,Active
PR4069,P2414,V3212,INR,9739.14,2026-05-21,,Active
PR4070,P2153,V3154,INR,6852.63,2026-06-10,,Active
PR4071,P2344,V3231,INR,1370.64,2026-01-15,,Expired
PR4072,P2330,V3102,INR,4520.37,2026-07-10,,Active
PR4073,P2383,V3315,INR,2969.13,2026-01-15,,Active
PR4074,P2450,V3177,INR,6245.78,2026-01-31,,Active
PR4075,P2358,V3181,INR,10132.08,2026-04-17,,Active
PR4076,P2352,V3232,INR,5277.49,2026-06-05,,Active
PR4077,P2163,V3012,INR,5242.6,2026-01-10,,Active
PR4078,P2307,V3186,INR,10871.31,2026-02-26,,Active
PR4079,P2101,V3249,INR,6946.01,2026-07-18,,Expired
PR4080,P2327,V3266,INR,6826.83,2026-06-10,,Active
PR4081,P2327,V3135,INR,3198.28,2026-01-07,,Expired
PR4082,P2155,V3245,INR,7322.09,2026-05-13,,Expired
PR4083,P2010,V3031,INR,6942.73,2026-08-06,,Active
PR4084,P9999,V3347,INR,4807.45,2026-05-05,,Active
PR4085,P2427,V3259,INR,11889.04,2026-04-29,,Expired
PR4086,P9999,V3104,INR,10591.55,2026-03-21,,Active
PR4087,P2455,V3001,INR,9013.82,2026-05-04,,Active
PR4088,P2134,V3207,INR,6482.85,2026-02-26,,Active
PR4089,P2006,V3135,INR,5585.06,2026-03-13,,Expired
PR4090,P2333,V3271,INR,2279.9,2026-08-02,,Active
PR4091,P2432,V3089,INR,3720.92,2026-08-14,,Active
PR4092,P2333,V3195,INR,9304.48,2026-06-17,,Active
PR4093,P2258,V3122,INR,5485.96,2026-01-28,,Active
PR4094,P2211,V3116,INR,10596.06,2026-08-26,,Active
PR4095,P2051,V3196,INR,1838.84,2026-02-05,,Expired
PR4096,P2445,V3036,INR,6137.04,2026-02-25,,Expired
PR4097,P2147,V3067,INR,7790.07,2026-06-24,,Active
PR4098,P2498,V3133,INR,6238.42,2026-07-18,,Active
PR4099,P2377,V3281,INR,10679.03,2026-04-26,,Active
PR4100,P2128,V3011,INR,11875.54,2026-06-17,,Expired
PR4101,P2486,V3218,INR,1456.33,2026-02-28,,Expired
PR4102,P2258,V3322,INR,1624.71,2026-06-20,,Expired
PR4103,P2051,V3156,INR,1629.12,2026-08-08,,Active
PR4104,P2154,V3240,INR,8198.04,2026-05-03,,Active
PR4105,P2070,V3060,INR,4519.16,2026-03-07,,Active
PR4106,P2276,V3138,INR,8819.78,2026-01-09,,Expired
PR4107,P2279,V3050,INR,4910.25,2026-05-14,,Active
PR4108,P2310,V3167,INR,7559.21,2026-04-29,,Active
PR4109,P2399,V3165,INR,9255.56,2026-05-02,,Active
