Product_ID,Product_Name,Category,Brand,Unit_of_Measure,Status,Standard_Cost
P2001,Vertex Electronics Item 100,Office Supplies,Apex,KG,Inactive,205.71
P2002,Nova Groceries Item 101,Electronics,Orion,EA,Active,3492.6
P2003,Apex Groceries Item 102,Home Appliances,Vertex,KG,Inactive,2220.22
P2004,Nova Personal Item 103,Electronics,Zenith,BOX,Active,2783.46
P2005,Apex Office Item 104,Office Supplies,Urban,EA,Inactive,2810.42
P2006,Vertex Office Item 105,Groceries,Apex,EA,Active,1423.01
P2007,Apex Home Item 106,Personal Care,Zenith,KG,Active,2405.67
P2008,Apex Furniture Item 107,Personal Care,Prime,EA,Inactive,2380.26
P2009,Vertex Personal Item 108,Home Appliances,Zenith,EA,Active,1972.71
P2010,Zenith Office Item 109,Furniture,Apex,BOX,Active,4112.34
P2011, prime office item 110 ,Electronics,Zenith,EA,Active,2283.26
P2012,Vertex Electronics Item 111,Home Appliances,Urban,EA,Active,3038.04
P2013,Prime Home Item 112,Furniture,Nova,KG,Active,4482.82
P2014,Prime Home Item 113,Electronics,Apex,KG,Active,4337.86
P2015,Orion Electronics Item 114,Office Supplies,Orion,BOX,Active,4457.59
P2016, nova groceries item 115 ,Personal Care,Zenith,BOX,Active,1386.52
P2017,Vertex Personal Item 116,Furniture,Nova,EA,Active,223.16
P2018,Orion Groceries Item 117,Electronics,Urban,EA,Active,1342.28
P2019,Apex Furniture Item 118,Home Appliances,Prime,KG,Active,1429.6
P2020,Nova Home Item 119,Electronics,Prime,BOX,Active,4551.33
P2021,Urban Furniture Item 120,Home Appliances,Urban,KG,Inactive,3263.75
P2022,Nova Groceries Item 121,personal care,Zenith,EA,Active,454.43
P2023,Apex Home Item 122,Personal Care,Prime,KG,Active,720.12
P2024,Nova Home Item 123,Electronics,Orion,EA,Active,820.6
P2025,Vertex Groceries Item 124,Electronics,Apex,EA,Inactive,3170.59
P2026,Vertex Electronics Item 125,Home Appliances,Nova,KG,Active,3690.3
P2027,Prime Office Item 126,Home Appliances,Vertex,EA,Active,-4305.24
P2028,Urban Home Item 127,Furniture,Zenith,EA,Inactive,4706.15
P2029,Vertex Home Item 128,Furniture,Prime,BOX,Inactive,1048.44
P2030,Nova Home Item 129,Furniture,Apex,KG,Active,1583.37
P2031,Zenith Office Item 130,Electronics,Vertex,EA,Active,1239.6
P2032,Apex Home Item 131,Groceries,Orion,BOX,Active,1825.87
P2033,Orion Home Item 132,Groceries,Prime,KG,Active,4577.59
P2034,Zenith Office Item 133,Groceries,Prime,EA,Inactive,2896.81
P2035,Orion Electronics Item 134,Groceries,Nova,BOX,Inactive,3704.05
P2036,Urban Electronics Item 135,Furniture,Orion,EA,Inactive,-2476.09
P2037,Prime Electronics Item 136,Electronics,Orion,KG,Active,192.85
P2038,Zenith Home Item 137,Groceries,Zenith,KG,Active,367.77
P2039,Prime Furniture Item 138,Personal Care,Vertex,EA,Inactive,2712.72
P2040,Apex Electronics Item 139,Office Supplies,Nova,EA,Inactive,3608.01
P2041,Nova Furniture Item 140,Personal Care,Zenith,BOX,Active,1115.89
P2042,Zenith Furniture Item 141,Electronics,Nova,EA,Active,3623.45
P2043,Prime Furniture Item 142,Electronics,Orion,KG,Inactive,4062.8
P2044,Nova Personal Item 143,Office Supplies,Nova,BOX,Active,2088.89
P2045,Zenith Groceries Item 144,Home Appliances,Nova,BOX,Active,3744.78
P2046,Orion Office Item 145,Home Appliances,Nova,EA,Active,2049.95
P2047,Nova Home Item 146,Home Appliances,Apex,KG,Active,3407.84
P2048,Zenith Furniture Item 147,Furniture,Apex,EA,Active,3831.79
P2049,Vertex Office Item 148,Home Appliances,Vertex,EA,Inactive,4960.04
P2050,Prime Electronics Item 149,Furniture,Vertex,EA,Active,1759.71
P2051,Zenith Electronics Item 150,Furniture,Urban,EA,Active,2084.65
P2052,Vertex Home Item 151,Home Appliances,Orion,EA,Active,869.82
P2053,Apex Home Item 152,Home Appliances,Nova,EA,Active,1060.16
P2054,Prime Personal Item 153,Office Supplies,Orion,BOX,Active,3482.31
P2055,Nova Electronics Item 154,Groceries,Apex,EA,Active,4589.38
P2056,Vertex Home Item 155,Office Supplies,Nova,EA,Inactive,2003.29
P2057,Zenith Personal Item 156,Furniture,Zenith,EA,Active,940.23
P2058,Vertex Furniture Item 157,Office Supplies,Apex,BOX,Inactive,1461.24
P2059,Zenith Personal Item 158,Furniture,Apex,EA,Inactive,2302.51
P2060,Nova Groceries Item 159,Electronics,Apex,EA,Active,1488.72
P2061, zenith personal item 160 ,Furniture,Urban,KG,Active,1206.22
P2062,Nova Personal Item 161,Furniture,Nova,BOX,Active,3693.12
P2063,Nova Furniture Item 162,Office Supplies,Vertex,KG,Active,88.83
P2064,Prime Electronics Item 163,Groceries,Prime,KG,Inactive,2719.19
P2065,Nova Personal Item 164,Electronics,Zenith,EA,Active,3979.15
P2066,Nova Groceries Item 165,Personal Care,Zenith,BOX,Active,1367.83
P2067,Apex Home Item 166,Personal Care,Orion,KG,Active,3036.29
P2068,Orion Electronics Item 167,Groceries,Nova,BOX,Active,3361.06
P2069,Vertex Personal Item 168,Personal Care,Vertex,EA,Inactive,3292.37
P2070,Zenith Office Item 169,Electronics,Apex,KG,Active,2256.96
P2071, orion groceries item 170 ,Home Appliances,Prime,KG,Active,1765.56
P2072,Vertex Personal Item 171,Electronics,Nova,BOX,Active,4187.82
P2073,Prime Personal Item 172,Office Supplies,Nova,EA,Active,3804.31
P2074,Prime Home Item 173,Furniture,Urban,KG,Active,1640.21
P2075,Vertex Home Item 174,Furniture,Vertex,EA,Inactive,559.95
P2076,Zenith Furniture Item 175,Office Supplies,Prime,BOX,Active,405.45
P2077,Nova Furniture Item 176,Office Supplies,Apex,BOX,Active,516.67
P2078,Orion Electronics Item 177,Furniture,Nova,KG,Active,2935.2
P2079,Vertex Home Item 178,Groceries,Zenith,EA,Inactive,305.73
P2080,Apex Groceries Item 179,Home Appliances,Zenith,KG,Inactive,1717.79
P2081,Nova Office Item 180,Home Appliances,Prime,EA,Active,3778.34
P2082,Orion Personal Item 181,Home Appliances,Apex,KG,Inactive,1507.02
P2083,Apex Groceries Item 182,Office Supplies,Prime,EA,Active,3828.37
P2084,Zenith Electronics Item 183,furniture,Nova,EA,Active,3740.06
P2085,Zenith Personal Item 184,Groceries,Urban,BOX,Inactive,1266.84
P2086,Orion Electronics Item 185,Furniture,Urban,BOX,Inactive,3657.67
P2087,Zenith Home Item 186,Furniture,Zenith,EA,Inactive,3751.49
P2088,Nova Home Item 187,Groceries,Urban,KG,Inactive,2017.4
