Vendor_ID,Vendor_Name,Email,Phone,City,State,Country,Vendor_Type,Status
V3001,Reliable Solutions 1,vendor1@supplier.com,8426907364,Kolkata,Tamil Nadu,India,Wholesaler,Inactive
V3002,Reliable Solutions 2,vendor2@supplier.com,9884056224,Kolkata,Maharashtra,India,Distributor,Active
V3003,Apex Supplies 3,vendor3@supplier.com,8766617514,Noida,Delhi,India,Wholesaler,Active
V3004,Apex Industries 4,vendor4@supplier.com,9589198484,Mumbai,West Bengal,India,Service,Active
V3005,Prime Distributors 5,vendor5@supplier.com,8075456851,Chennai,Karnataka,India,Manufacturer,Active
V3006, national distributors 6 ,vendor6@supplier.com,9117386350,Chennai,Andhra Pradesh,India,Manufacturer,Active
V3007, prime industries 7 ,,7895476956,Kolkata,West Bengal,India,Service,Active
V3008,Prime Solutions 8,vendor8@supplier.com,7699420735,Kolkata,Karnataka,India,Service,Inactive
V3009,Prime Traders 9,vendor9@supplier.com,8488382589,Pune,West Bengal,India,Wholesaler,Active
V3010,Reliable Solutions 10,,7181890777,Hyderabad,Uttar Pradesh,India,Manufacturer,Active
V3011, reliable distributors 11 ,vendor11@supplier.com,9400101729,Ahmedabad,West Bengal,India,Service,Active
V3012,United Supplies 12,vendor12@supplier.com,9740100569,Mumbai,Delhi,India,Wholesaler,Active
V3013,Prime Traders 13,vendor13@supplier.com,9338919308,Vijayawada,Karnataka,India,Wholesaler,Active
V3014,Reliable Distributors 14,vendor14@supplier.com,7881472996,Ahmedabad,Andhra Pradesh,India,Distributor,Active
V3015,Reliable Industries 15,vendor15@supplier.com,8550360588,Pune,Gujarat,India,Manufacturer,Active
V3016,United Industries 16,vendor16@supplier.com,9986417061,Ahmedabad,West Bengal,India,Wholesaler,Inactive
V3017,Global Solutions 17,vendor17@supplier.com,7625570968,Ahmedabad,Andhra Pradesh,India,Service,Active
V3018,Global Supplies 18,vendor18@supplier.com,8427377341,Pune,Karnataka,India,Manufacturer,Inactive
V3019,Global Solutions 19,vendor19@supplier.com,8112818326,Kolkata,Andhra Pradesh,India,Service,Inactive
